Frequency,Speech Rate,Pitch Variability,ZCR,RMS Energy,Temporal Centroid,Spectral Centroid,Spectral Bandwidth,Spectral Contrast,Spectral Flatness,MFCCs,Chroma Vector,HNR,Tonal Centroid,Outcome
2644.61,4300.5,584.2,0.193,0.1769,0.603,2655.64,1656.43,26.6,0.0003,-19.6,0.3095,-20.819,-0.0107,1
1552.28,2487.5,586.8,0.111,0.2316,0.967,1696.2,1478.08,25.17,0.0002,-10.48,0.2864,-22.321,-0.003,1
1750.26,2150.5,256.85,0.095,0.1521,0.745,1826.8,1569.31,27.53,0.0006,-19.77,0.2988,-21.049,0.0068,1
1271.01,907,427.63,0.04,0.1934,1.299,1164.2,1266.04,27.05,0.0001,-13,0.3369,-24.987,-0.0508,1
1514.02,1685,1085.17,0.075,0.0913,0.59,1379.57,1213.43,23.52,0.0002,-6.43,0.3295,-15.565,0.0034,1
1385.01,1778,908.4,0.079,0.1868,0.752,1472.14,1326.03,23.82,0.0002,0.61,0.3948,-17.679,-0.0167,1
2097.64,2794,185.96,0.125,0.1388,0.728,2024.96,1735.98,27.9,0.0003,-21.49,0.2707,-19.876,-0.0011,1
1608.17,2224.5,784.63,0.097,0.1453,0.829,1650.48,1453.84,25.45,0.0011,-14.97,0.3356,-19.679,-0.0395,1
2661.13,3007.5,579.97,0.133,0.1461,0.858,2174.01,1641.4,27.43,0.0001,-18.83,0.2729,-19.998,-0.0312,1
2896.06,3695,796.06,0.164,0.1344,0.931,2501.32,1712.56,26.91,0.0002,-20.75,0.2722,-21.927,-0.0388,1
2965.43,4309.5,684.76,0.193,0.1456,1.029,2605.7,1663.29,27.36,0.0002,-20.85,0.3043,-22.458,0.0015,1
1709.55,2253,875.66,0.101,0.1816,0.812,1668.44,1366.92,24.07,0.0002,-1.67,0.421,-16.411,-0.003,1
1867.9,2216.5,811.88,0.099,0.0837,0.733,2004.11,1787.13,23.96,0.0004,-6.65,0.463,-18.547,-0.0028,1
2582.68,3457,379.72,0.155,0.1409,0.699,2208.14,1538.99,26.44,0.0002,-19.51,0.2645,-21.277,0.0196,1
1398.73,863,785.68,0.039,0.0855,1.249,1189.49,1435.36,23.8,0.0001,-8.24,0.5,-17.212,-0.0076,1
1925.19,2326,415.15,0.103,0.1073,0.644,1888.43,1474.73,26.07,0.0003,-19.35,0.3516,-20.536,-0.0145,1
1204.92,1671,395.52,0.075,0.1734,0.877,1240.98,1171.03,26.1,0.0001,-19.37,0.2788,-20.222,0.0254,1
977.02,893.5,500.75,0.04,0.184,0.833,968.27,1248.39,23.33,0.0001,1.49,0.3776,-10.304,-0.0116,1
3314.03,5454,1058.05,0.244,0.099,0.739,3155.2,1710.6,26.25,0.0002,-23.36,0.3037,-22.149,-0.0061,1
726.55,736,194.18,0.033,0.1815,0.89,909.53,1299.67,23.52,0.0001,-2.17,0.4078,-12.114,-0.0111,1
1670.63,3164.5,815.6,0.142,0.1983,0.777,1920.47,1474.16,25.03,0.0002,-9.87,0.3186,-20.187,-0.0074,1
1816.97,1495,748.61,0.067,0.1904,0.895,1780.44,1701.92,25.17,0.0004,-0.97,0.3415,-17.074,0,1
1209.23,1413.5,786.06,0.063,0.1904,0.763,1248.72,1246.62,24.32,0.0001,-4.67,0.3736,-17.132,-0.0007,1
1023.83,1013.5,501.88,0.045,0.1944,0.838,965.7,1066.33,26.27,0.0002,-9.37,0.2594,-25.503,0.0145,1
3171.78,4383,1196.17,0.196,0.1154,0.699,2616.88,1669.65,26.63,0.0004,-22.52,0.3393,-20.228,0.0106,1
1798.15,2024.5,1156.4,0.091,0.1273,1.145,1819.17,1541.41,22.63,0.0001,-3.61,0.448,-17.741,0.0088,1
3430.4,4322.5,1207.29,0.192,0.0562,0.477,2843.24,1871.78,22.95,0.0019,-18.33,0.4878,-21.312,-0.0075,1
1296.93,1776,163.01,0.079,0.1665,0.755,1411.97,1368.3,23.64,0.0002,-11.06,0.316,-17.01,0.0076,1
2007.57,3545,396.51,0.159,0.1314,0.869,2163.05,1471.58,27.22,0.0002,-20.23,0.2757,-22.205,0.0124,1
2860.63,3273.5,169.16,0.147,0.1287,0.985,2126.41,1505.86,26.41,0.0002,-20.78,0.2978,-18.209,0.0052,1
2255.13,2631.5,1017.96,0.117,0.1,0.717,2009.71,1488.46,26.91,0.0009,-21.47,0.3239,-20.424,0.0029,1
1830.5,2279.5,190.02,0.102,0.133,0.629,1885.92,1572.37,27.04,0.0002,-20.04,0.2771,-22.403,0.0115,1
2663.48,3677.5,455.74,0.165,0.1888,0.947,2416.08,1634.32,26.48,0.0001,-19.88,0.2743,-21.939,0.005,1
1975.79,2811,1083.42,0.126,0.169,1.074,2040.9,1590.14,25.71,0.0002,-10.45,0.3377,-18.862,0.03,1
1732.43,2831,329.2,0.127,0.1597,0.921,2061.62,1668.43,25.73,0.0004,-14.82,0.341,-21.147,0.0095,1
1624.35,1741.5,673.06,0.078,0.1644,0.976,1580.53,1411.08,27.4,0.0003,-22.15,0.2408,-19.881,0.0117,1
1803.53,2771.5,544.91,0.124,0.12,0.997,1816,1521.17,25.77,0.0005,-27.33,0.3063,-18.177,-0.0046,1
1364.11,1891,498.51,0.084,0.1523,1.122,1519.06,1396.18,24.45,0.0004,-10.27,0.3289,-19.435,0.0006,1
950.37,1057,700.02,0.047,0.111,0.943,1127.96,1432.19,23.52,0.0001,-5.76,0.3607,-10.255,0.0149,1
2077.52,2430,130.1,0.109,0.0929,1.006,1950.22,1673.71,26.59,0.0002,-20.53,0.3208,-19.633,0.0091,1
2326.62,3502,1359.29,0.157,0.2305,0.914,2428.26,1640.46,26.43,0.0003,-11.81,0.3345,-27.983,0.0279,1
2090.2,3075,424.26,0.138,0.1771,0.913,1914.27,1361.65,26.8,0.0002,-22.16,0.2937,-22.04,0.0336,1
2354.23,2789,968.88,0.124,0.1318,0.938,2084.78,1638.44,26.98,0.0018,-20.9,0.2992,-23.726,-0.0198,1
2203.34,3187.5,827.11,0.141,0.1283,0.437,2153.34,1592.43,27.4,0.0005,-22.97,0.2803,-19.97,0.0148,1
2714.48,4010.5,704.03,0.179,0.1383,0.736,2422.31,1529,26.01,0.0004,-21.67,0.331,-21.088,-0.007,1
3375.35,3915,970.54,0.175,0.1328,0.85,2506.77,1637.5,27.62,0.0005,-19.59,0.2874,-22.305,0.0257,1
1816.87,2195,427.88,0.098,0.1149,1.192,1708.27,1667.95,24.71,0.0003,-20.93,0.3659,-18.554,0.0289,1
1405.74,1627.5,1149.77,0.072,0.1397,0.715,1526.75,1381.01,23.61,0.0007,-4.98,0.4108,-18.698,0.0184,1
2746.2,4068,206.64,0.182,0.1753,0.986,2443.29,1612.97,26.57,0.0006,-26.04,0.2672,-22.437,-0.0009,1
2197.53,2832,581.48,0.126,0.1501,0.904,1993.08,1583.63,27.59,0.0008,-20.55,0.3131,-22.561,-0.0261,1
1890.16,2351.5,901.31,0.105,0.0921,0.713,1821.2,1464.92,26.3,0.0003,-20.53,0.3153,-22.436,0.0062,1
1157.71,535,706.91,0.024,0.1526,1.152,896.41,1306.76,22.9,0.0001,-3.55,0.5136,-17.836,0.0348,1
794.51,453.5,140.72,0.02,0.1629,1.175,786.65,1263.91,22.61,0.0001,4.23,0.3347,-11.677,-0.0837,1
1646.76,2322,343.25,0.101,0.1462,0.645,1823.47,1667.19,25.91,0.0014,-15.47,0.313,-17.976,-0.015,1
2921.82,4022,1039.11,0.179,0.1515,0.638,2639.23,1673.98,26.74,0.0002,-21.52,0.2817,-20.227,-0.0192,1
2055.39,1340,1215.13,0.06,0.1096,1.286,1661.22,1499.62,25.19,0.0001,-12.26,0.5199,-21.742,-0.0182,1
2045.58,1840.5,905.41,0.082,0.2325,0.895,1444.28,1363.12,25.67,0.0001,-7.4,0.3562,-15.932,-0.0381,1
1415.27,1197,476.46,0.053,0.1532,0.901,1350.87,1529.68,25.21,0.0001,-2.59,0.3518,-14.591,0.0283,1
969.9,343,113.78,0.015,0.1904,0.696,1040.18,1642.63,24.25,0.0001,-8.99,0.4791,-14.213,-0.0136,1
1691.52,2927,200.14,0.131,0.1318,0.818,1847.24,1443.59,26.74,0.0001,-21.92,0.3205,-20.171,-0.007,1
2185.31,2320.5,1048.75,0.103,0.1611,0.827,2162.55,2027.75,22.8,0.0009,1.47,0.4566,-17.345,0.0134,1
1655.8,1578,410.46,0.07,0.151,0.748,1606.05,1446.14,26.54,0.0002,-6.79,0.3127,-16.148,-0.0399,1
1361.33,1864.5,575.85,0.083,0.1676,0.982,1521.97,1402.2,27.68,0.0002,-17.67,0.2771,-19.006,0.0074,1
1698.85,1639.5,178.64,0.073,0.2442,0.981,1517.77,1595.24,27.2,0.0004,-11.63,0.2643,-16.976,0.0215,1
3076,3749,760.83,0.168,0.1544,0.836,2465.19,1505.95,26.86,0.0001,-20.69,0.2788,-22.349,-0.0023,1
1682.72,1720,727.55,0.077,0.0923,0.704,1651.55,1422.41,25.24,0.0003,-4.38,0.353,-14.605,0.0069,1
2333.89,3282.5,610.45,0.146,0.1412,0.688,2249.15,1662.79,25.61,0.0007,-19.26,0.306,-22.784,-0.0094,1
1699.29,2135.5,242.48,0.095,0.1365,0.734,1753.65,1564.64,27.88,0.0002,-20.03,0.2997,-20.482,0.0008,1
2145.81,2753,1126.94,0.123,0.1387,0.897,2046.56,1569.65,23.91,0.0003,-6.37,0.4231,-18.582,-0.0188,1
1844.04,2973.5,880.14,0.133,0.0856,0.838,1875.78,1079.84,23.48,0.0003,-23.55,0.4099,-23.22,0.0021,1
1176.21,1315,907.94,0.058,0.1477,0.784,1330.76,1279.45,21.07,0.0003,-1.71,0.5104,-14.336,-0.0037,1
2438.69,3121,642.81,0.138,0.1069,1.115,2044.14,1535.47,26.22,0.0009,-22,0.3255,-22.217,0.0034,1
2269.46,2445,164.24,0.109,0.134,0.844,1917.82,1588.36,27.01,0.0002,-18.51,0.2894,-20.509,0.0039,1
1812.16,1980,361.6,0.088,0.1446,0.66,1758.14,1665.15,26.03,0.0004,-23,0.3192,-20.033,0.0229,1
2121.03,3301.5,1169.01,0.148,0.116,0.511,2219.6,1597.12,26.87,0.0002,-23.85,0.3059,-23.903,-0.0044,1
2109.62,2526,578.04,0.113,0.1575,0.837,2159.53,1797.49,28.15,0.0003,-19.66,0.2794,-21.411,0.0362,1
2902.65,3359,447.83,0.15,0.1301,0.988,2290.13,1539.66,27.94,0.0002,-20.74,0.2724,-19.951,-0.0162,1
1458.55,2012.5,995.97,0.089,0.1835,0.809,1606.49,1603.63,23.99,0.0005,-2.19,0.3622,-17.048,-0.0331,1
1360.6,1769.5,426.45,0.079,0.1224,0.756,1385.76,1240.77,26.26,0.0004,-16.33,0.3006,-21.21,-0.0148,1
